employee_id,performance_rating,compliance_status,bonus_percentage
EMP_00322,3,Non-Compliant,17.08
EMP_00323,3,Non-Compliant,5.86
EMP_00324,1,Compliant,10.3
EMP_00325,5,Compliant,17.26
EMP_00326,2,Compliant,7.17
EMP_00327,2,Compliant,6.65
EMP_00328,3,Compliant,9.31
EMP_00329,3,Compliant,18.34
EMP_00330,5,Compliant,5.09
EMP_00331,3,Compliant,12.97
EMP_00332,4,Compliant,12.07
EMP_00333,3,Compliant,10.79
EMP_00334,2,Compliant,9.52
EMP_00335,5,Non-Compliant,11.71
EMP_00336,4,Compliant,4.78
EMP_00337,3,Non-Compliant,9.84
EMP_00338,5,Compliant,7.24
EMP_00339,2,Compliant,10.38
EMP_00340,2,Compliant,11.15
EMP_00341,1,Compliant,9.24
EMP_00342,4,Compliant,8.73
EMP_00343,4,Non-Compliant,16.4
EMP_00344,3,Compliant,12.03
EMP_00345,5,Compliant,5.34
EMP_00346,1,Compliant,12.68
EMP_00347,2,Compliant,14.16
EMP_00348,5,Compliant,3.69
EMP_00349,5,Compliant,0.0
EMP_00350,1,Compliant,20.13
EMP_00351,2,Compliant,15.38
EMP_00352,5,Compliant,9.53
EMP_00353,1,Compliant,10.09
EMP_00354,1,Compliant,6.44
EMP_00355,3,Compliant,12.03
EMP_00356,4,Compliant,3.2
EMP_00357,2,Compliant,14.58
EMP_00358,5,Compliant,1.59
EMP_00359,2,Compliant,17.27
EMP_00360,1,Compliant,3.44
EMP_00361,3,Compliant,10.69
EMP_00362,4,Compliant,14.25
EMP_00363,4,Compliant,8.37
EMP_00364,4,Compliant,10.58
EMP_00365,4,Compliant,12.69
EMP_00366,4,Non-Compliant,10.57
EMP_00367,5,Compliant,6.15
EMP_00368,3,Compliant,11.12
EMP_00369,2,Compliant,16.28
EMP_00370,1,Compliant,13.87
EMP_00371,2,Non-Compliant,10.96
EMP_00372,5,Compliant,10.01
EMP_00373,2,Compliant,5.39
EMP_00374,1,Non-Compliant,3.75
EMP_00375,5,Compliant,12.79
EMP_00376,3,Compliant,13.07
EMP_00377,2,Compliant,10.53
EMP_00378,4,Compliant,13.84
EMP_00379,3,Compliant,12.42
EMP_00380,1,Compliant,9.95
EMP_00381,4,Compliant,8.22
EMP_00382,3,Compliant,9.85
EMP_00383,3,Non-Compliant,11.82
EMP_00384,5,Compliant,10.11
EMP_00385,5,Compliant,8.91
EMP_00386,2,Compliant,7.73
EMP_00387,4,Compliant,5.25
EMP_00388,5,Compliant,5.81
EMP_00389,1,Compliant,17.79
EMP_00390,3,Compliant,10.63
EMP_00391,2,Compliant,10.3
EMP_00392,2,Compliant,1.05
EMP_00393,2,Compliant,9.46
EMP_00394,2,Compliant,12.36
EMP_00395,2,Compliant,10.94
EMP_00396,4,Compliant,7.73
EMP_00397,4,Compliant,8.56
EMP_00398,3,Compliant,9.24
EMP_00399,5,Compliant,9.16
EMP_00400,1,Compliant,0.0
EMP_00401,5,Compliant,10.47
EMP_00402,3,Compliant,8.68
EMP_00403,5,Compliant,12.09
EMP_00404,2,Compliant,11.74
EMP_00405,1,Non-Compliant,17.84
EMP_00406,2,Compliant,6.24
EMP_00407,4,Non-Compliant,11.55
EMP_00408,3,Compliant,6.75
EMP_00409,2,Compliant,5.17
EMP_00410,4,Compliant,13.54
EMP_00411,3,Compliant,11.69
EMP_00412,3,Compliant,0.06
EMP_00413,3,Compliant,9.74
EMP_00414,1,Compliant,12.65
EMP_00415,2,Compliant,10.14
EMP_00416,5,Compliant,13.22
EMP_00417,2,Compliant,12.17
EMP_00418,3,Non-Compliant,14.5
EMP_00419,3,Compliant,8.45
EMP_00420,2,Compliant,3.53
EMP_00421,2,Compliant,7.89
EMP_00422,3,Compliant,13.73
EMP_00423,3,Compliant,8.57
EMP_00424,3,Compliant,6.52
EMP_00425,2,Compliant,17.22
EMP_00426,2,Compliant,0.0
EMP_00427,5,Compliant,0.0
EMP_00428,3,Compliant,10.54
EMP_00429,4,Compliant,7.65
EMP_00430,5,Compliant,6.03
EMP_00431,3,Compliant,17.59
EMP_00432,1,Compliant,16.0
EMP_00433,1,Compliant,15.8
EMP_00434,2,Compliant,13.96
EMP_00435,5,Compliant,8.02
EMP_00436,1,Compliant,12.09
EMP_00437,2,Compliant,12.05
EMP_00438,1,Compliant,11.33
EMP_00439,2,Compliant,18.2
EMP_00440,4,Compliant,7.3
EMP_00441,5,Compliant,7.03
EMP_00442,3,Compliant,8.75
EMP_00443,1,Compliant,18.56
EMP_00444,5,Compliant,15.49
EMP_00445,3,Compliant,10.36
EMP_00446,1,Compliant,11.96
EMP_00447,1,Non-Compliant,2.18
EMP_00448,2,Compliant,4.44
EMP_00449,4,Compliant,8.38
EMP_00450,5,Compliant,5.95
EMP_00451,5,Compliant,10.72
EMP_00452,1,Compliant,11.13
EMP_00453,2,Compliant,8.84
EMP_00454,3,Compliant,1.54
EMP_00455,4,Compliant,10.44
EMP_00456,2,Compliant,15.36
EMP_00457,1,Compliant,6.57
EMP_00458,1,Compliant,7.25
EMP_00459,2,Non-Compliant,7.7
EMP_00460,3,Compliant,7.77
EMP_00461,1,Compliant,12.12
EMP_00462,2,Compliant,5.55
EMP_00463,4,Compliant,25.53
EMP_00464,5,Compliant,9.44
EMP_00465,3,Compliant,0.68
EMP_00466,5,Compliant,7.15
EMP_00467,5,Compliant,10.39
EMP_00468,4,Compliant,2.45
EMP_00469,3,Non-Compliant,5.16
EMP_00470,4,Non-Compliant,8.81
EMP_00471,1,Compliant,5.84
EMP_00472,3,Compliant,1.35
EMP_00473,2,Compliant,9.99
EMP_00474,2,Compliant,8.82
EMP_00475,4,Compliant,22.85
EMP_00476,2,Compliant,17.44
EMP_00477,3,Compliant,4.92
EMP_00478,2,Compliant,0.0
EMP_00479,3,Compliant,8.76
EMP_00480,3,Compliant,0.0
EMP_00481,4,Compliant,11.22
EMP_00482,5,Compliant,10.32
EMP_00483,5,Compliant,7.58
EMP_00484,2,Compliant,10.36
EMP_00485,3,Compliant,11.13
EMP_00486,4,Compliant,8.58
EMP_00487,2,Compliant,12.69
EMP_00488,4,Compliant,9.22
EMP_00489,3,Compliant,6.0
EMP_00490,3,Compliant,13.43
EMP_00491,4,Compliant,0.0
EMP_00492,3,Compliant,9.99
EMP_00493,4,Compliant,10.24
EMP_00494,1,Compliant,5.62
EMP_00495,5,Compliant,8.13
EMP_00496,3,Compliant,11.93
EMP_00497,2,Compliant,10.79
EMP_00498,5,Compliant,11.26
EMP_00499,1,Compliant,0.16
EMP_00500,5,Non-Compliant,10.75
EMP_00501,2,Compliant,8.98
EMP_00502,3,Compliant,17.12
EMP_00503,4,Compliant,0.0
EMP_00504,3,Non-Compliant,10.64
EMP_00505,1,Compliant,5.99
EMP_00506,1,Compliant,15.41
EMP_00507,3,Compliant,1.57
EMP_00508,5,Compliant,10.93
EMP_00509,1,Compliant,12.1
EMP_00510,2,Compliant,2.38
EMP_00511,3,Compliant,4.03
EMP_00512,3,Compliant,3.89
EMP_00513,2,Compliant,14.73
EMP_00514,2,Compliant,17.86
EMP_00515,2,Compliant,8.24
EMP_00516,5,Compliant,9.43
EMP_00517,1,Compliant,6.0
EMP_00518,5,Compliant,10.78
EMP_00519,4,Compliant,11.9
EMP_00520,4,Compliant,7.51
EMP_00521,1,Compliant,7.33
EMP_00522,4,Compliant,11.16
EMP_00523,1,Non-Compliant,10.55
EMP_00524,2,Compliant,14.59
EMP_00525,3,Compliant,15.45
EMP_00526,1,Compliant,9.03
EMP_00527,3,Compliant,9.46
EMP_00528,1,Compliant,10.0
EMP_00529,1,Compliant,0.03
EMP_00530,5,Compliant,9.43
EMP_00531,5,Compliant,12.87
EMP_00532,1,Compliant,0.0
EMP_00533,5,Compliant,10.15
EMP_00534,1,Compliant,15.42
EMP_00535,3,Non-Compliant,9.46
EMP_00536,3,Compliant,12.14
EMP_00537,3,Compliant,20.77
EMP_00538,4,Compliant,9.5
EMP_00539,5,Compliant,12.53
EMP_00540,2,Compliant,16.05
EMP_00541,5,Compliant,14.16
EMP_00542,3,Compliant,12.52
EMP_00543,4,Compliant,6.0
EMP_00544,3,Compliant,13.91
EMP_00545,2,Compliant,0.37
EMP_00546,5,Compliant,16.51
EMP_00547,4,Compliant,14.27
EMP_00548,3,Non-Compliant,11.46
EMP_00549,2,Compliant,7.11
EMP_00550,3,Compliant,3.49
EMP_00551,5,Compliant,8.3
EMP_00552,5,Compliant,6.27
EMP_00553,3,Non-Compliant,13.39
EMP_00554,4,Compliant,8.57
EMP_00555,1,Compliant,12.27
EMP_00556,2,Compliant,14.35
EMP_00557,5,Compliant,7.51
EMP_00558,4,Non-Compliant,0.09
EMP_00559,5,Compliant,17.01
EMP_00560,3,Compliant,9.09
EMP_00561,4,Compliant,13.15
EMP_00562,2,Compliant,3.14
EMP_00563,2,Compliant,14.17
EMP_00564,1,Compliant,9.23
EMP_00565,4,Compliant,0.0
EMP_00566,1,Compliant,3.36
EMP_00567,2,Compliant,14.84
EMP_00568,2,Compliant,9.32
EMP_00569,3,Compliant,11.54
EMP_00570,3,Compliant,7.46
EMP_00571,1,Compliant,5.07
EMP_00572,3,Compliant,11.05
EMP_00573,5,Compliant,1.09
EMP_00574,5,Compliant,8.12
EMP_00575,3,Compliant,0.6
EMP_00576,5,Compliant,9.0
EMP_00577,1,Compliant,19.23
EMP_00578,1,Compliant,10.28
EMP_00579,2,Compliant,11.76
EMP_00580,4,Compliant,14.53
EMP_00581,5,Compliant,7.55
EMP_00582,1,Non-Compliant,13.06
EMP_00583,1,Compliant,8.32
EMP_00584,1,Compliant,13.55
EMP_00585,1,Compliant,15.78
EMP_00586,3,Compliant,7.93
EMP_00587,3,Compliant,7.35
EMP_00588,2,Compliant,11.08
EMP_00589,4,Compliant,12.62
EMP_00590,1,Compliant,10.91
EMP_00591,5,Compliant,16.44
EMP_00592,3,Non-Compliant,5.61
EMP_00593,1,Compliant,12.07
EMP_00594,1,Compliant,13.36
EMP_00595,1,Compliant,9.81
EMP_00596,1,Compliant,15.93
EMP_00597,3,Compliant,16.74
EMP_00598,2,Compliant,6.83
EMP_00599,2,Compliant,8.17
EMP_00600,2,Compliant,11.13
EMP_00601,2,Compliant,8.77
EMP_00602,4,Compliant,10.88
EMP_00603,4,Compliant,16.13
EMP_00604,5,Non-Compliant,21.67
EMP_00605,2,Compliant,0.0
EMP_00606,3,Compliant,17.19
EMP_00607,5,Compliant,9.93
EMP_00608,4,Compliant,5.42
EMP_00609,2,Compliant,6.67
EMP_00610,5,Compliant,8.81
EMP_00611,5,Non-Compliant,6.41
EMP_00612,2,Compliant,7.7
EMP_00613,3,Compliant,9.31
EMP_00614,2,Compliant,2.44
EMP_00615,2,Compliant,0.0
EMP_00616,1,Compliant,0.33
EMP_00617,1,Compliant,11.97
EMP_00618,4,Compliant,10.97
EMP_00619,5,Compliant,2.84
EMP_00620,5,Compliant,6.52
EMP_00621,2,Compliant,5.79
EMP_00622,1,Compliant,5.42
EMP_00623,1,Compliant,8.72
EMP_00624,2,Compliant,12.68
EMP_00625,3,Compliant,11.03
EMP_00626,1,Compliant,8.27
EMP_00627,1,Compliant,11.49
EMP_00628,3,Compliant,14.47
EMP_00629,3,Compliant,7.49
EMP_00630,2,Compliant,12.36
EMP_00631,2,Compliant,12.66
EMP_00632,1,Compliant,7.55
EMP_00633,4,Non-Compliant,1.4
EMP_00634,3,Compliant,6.67
EMP_00635,1,Compliant,12.77
EMP_00636,3,Non-Compliant,4.95
EMP_00637,3,Compliant,15.96
EMP_00638,2,Compliant,12.45
EMP_00639,3,Compliant,11.4
EMP_00640,2,Compliant,6.74
EMP_00641,3,Compliant,14.65
EMP_00642,1,Compliant,19.25
EMP_00643,3,Non-Compliant,13.38
EMP_00644,3,Non-Compliant,4.57
EMP_00645,1,Compliant,11.2
EMP_00646,5,Compliant,10.36
EMP_00647,2,Compliant,11.42
EMP_00648,2,Compliant,11.82
EMP_00649,5,Compliant,8.42
EMP_00650,2,Compliant,13.08
EMP_00651,5,Compliant,14.18
EMP_00652,2,Compliant,10.27
EMP_00653,2,Compliant,13.23
EMP_00654,2,Compliant,7.88
EMP_00655,3,Compliant,5.38
EMP_00656,4,Compliant,5.64
EMP_00657,4,Compliant,16.01
EMP_00658,4,Compliant,0.0
EMP_00659,5,Compliant,12.35
EMP_00660,3,Compliant,16.79
EMP_00661,1,Compliant,11.1
EMP_00662,2,Compliant,13.46
EMP_00663,1,Compliant,19.47
EMP_00664,1,Non-Compliant,6.82
EMP_00665,2,Compliant,6.39
EMP_00666,2,Compliant,13.42
EMP_00667,5,Non-Compliant,14.2
EMP_00668,3,Compliant,16.83
EMP_00669,3,Compliant,16.99
EMP_00670,1,Compliant,11.8
EMP_00671,2,Compliant,14.95
EMP_00672,1,Compliant,10.7
EMP_00673,5,Compliant,0.0
EMP_00674,2,Compliant,14.06
EMP_00675,3,Compliant,16.26
EMP_00676,3,Compliant,7.71
EMP_00677,4,Compliant,8.47
EMP_00678,1,Compliant,10.46
EMP_00679,4,Compliant,7.57
EMP_00680,4,Compliant,12.61
EMP_00681,3,Compliant,17.09
EMP_00682,1,Compliant,9.58
EMP_00683,5,Compliant,16.15
EMP_00684,5,Compliant,3.96
EMP_00685,4,Compliant,15.32
EMP_00686,5,Compliant,17.43
EMP_00687,4,Compliant,13.45
EMP_00688,4,Compliant,8.64
EMP_00689,1,Compliant,4.35
EMP_00690,5,Compliant,5.61
EMP_00691,3,Compliant,6.9
EMP_00692,5,Compliant,14.19
EMP_00693,2,Compliant,12.88
EMP_00694,3,Compliant,16.66
EMP_00695,4,Compliant,2.26
EMP_00696,4,Compliant,11.4
EMP_00697,5,Non-Compliant,12.75
EMP_00698,3,Compliant,13.35
EMP_00699,1,Compliant,11.9
EMP_00700,4,Compliant,6.28
EMP_00701,4,Non-Compliant,0.0
EMP_00702,4,Compliant,11.45
EMP_00703,5,Compliant,11.55
EMP_00704,2,Compliant,15.22
EMP_00705,2,Compliant,12.68
EMP_00706,4,Compliant,11.17
EMP_00707,3,Compliant,10.72
EMP_00708,2,Compliant,12.37
EMP_00709,4,Compliant,17.21
EMP_00710,4,Compliant,11.65
EMP_00711,2,Compliant,14.64
EMP_00712,1,Compliant,22.29
EMP_00713,3,Compliant,12.98
EMP_00714,1,Compliant,20.42
EMP_00715,3,Compliant,13.14
EMP_00716,5,Compliant,2.72
EMP_00717,2,Compliant,13.52
EMP_00718,1,Non-Compliant,7.53
EMP_00719,5,Compliant,17.5
EMP_00720,2,Compliant,4.9
EMP_00721,2,Compliant,5.78
EMP_00722,2,Non-Compliant,7.45
EMP_00723,1,Compliant,9.46
EMP_00724,1,Non-Compliant,13.02
EMP_00725,5,Compliant,14.81
EMP_00726,1,Compliant,7.29
EMP_00727,5,Compliant,11.71
EMP_00728,4,Compliant,0.0
EMP_00729,5,Compliant,4.81
EMP_00730,1,Compliant,10.12
EMP_00731,2,Compliant,4.35
EMP_00732,4,Compliant,9.41
EMP_00733,1,Compliant,12.52
EMP_00734,4,Compliant,14.39
EMP_00735,2,Compliant,12.87
EMP_00736,5,Compliant,0.0
EMP_00737,4,Compliant,4.08
EMP_00738,2,Compliant,13.45
EMP_00739,4,Compliant,11.88
EMP_00740,2,Non-Compliant,10.12
EMP_00741,4,Compliant,0.0
EMP_00742,3,Compliant,2.27
EMP_00743,2,Compliant,12.86
EMP_00744,3,Compliant,12.14
EMP_00745,4,Compliant,8.59
EMP_00746,1,Non-Compliant,9.86
EMP_00747,1,Compliant,7.94
EMP_00748,3,Compliant,0.36
EMP_00749,5,Compliant,14.99
EMP_00750,5,Compliant,12.88
EMP_00751,2,Compliant,10.83
EMP_00752,1,Compliant,6.34
EMP_00753,2,Compliant,2.46
EMP_00754,5,Compliant,11.74
EMP_00755,5,Compliant,5.55
EMP_00756,2,Compliant,14.26
EMP_00757,2,Compliant,9.37
EMP_00758,5,Compliant,15.33
EMP_00759,2,Compliant,18.09
EMP_00760,5,Compliant,13.76
EMP_00761,5,Compliant,19.27
EMP_00762,5,Compliant,18.21
EMP_00763,5,Compliant,12.61
EMP_00764,3,Compliant,13.86
