employee_id,salary,bonus_percentage
EMP_00113,6120.46,10.93
EMP_00114,10926.48,0.0
EMP_00115,5615.28,9.67
EMP_00116,6603.09,11.16
EMP_00117,5930.58,9.65
EMP_00118,3662.64,9.09
EMP_00119,8285.65,11.03
EMP_00120,7503.87,5.5
EMP_00121,7582.06,15.5
EMP_00122,4181.23,8.13
EMP_00123,8805.59,11.15
EMP_00124,3196.3,8.82
EMP_00125,7173.71,9.61
EMP_00126,10380.91,8.89
EMP_00127,4018.93,9.12
EMP_00128,4867.4,8.61
EMP_00129,6199.3,0.0
EMP_00130,4993.05,10.41
EMP_00131,2898.67,11.4
EMP_00132,6137.13,13.16
EMP_00133,3875.39,8.57
EMP_00134,6947.18,6.42
EMP_00135,4161.15,9.74
EMP_00136,9099.87,10.78
EMP_00137,4433.49,3.76
EMP_00138,5355.88,5.93
EMP_00139,7627.03,20.95
EMP_00140,3538.27,10.14
EMP_00141,6454.92,17.8
EMP_00142,8614.29,11.77
EMP_00143,2785.03,12.69
EMP_00144,6369.27,8.35
EMP_00145,6519.77,0.0
EMP_00146,7563.65,6.79
EMP_00147,3526.1,0.0
EMP_00148,3359.09,6.54
EMP_00149,7043.88,17.66
EMP_00150,6593.97,14.61
EMP_00151,6500.99,4.58
EMP_00152,6692.9,7.74
EMP_00153,4639.95,4.52
EMP_00154,6464.51,17.06
EMP_00155,6586.14,13.36
EMP_00156,4571.3,8.5
EMP_00157,9731.55,3.87
EMP_00158,6947.67,12.93
EMP_00159,3617.39,10.47
EMP_00160,7313.11,10.88
EMP_00161,4050.64,16.86
EMP_00162,7574.17,5.77
EMP_00163,8317.19,9.53
EMP_00164,4358.64,16.02
EMP_00165,7926.75,8.59
EMP_00166,6825.56,8.65
EMP_00167,7644.12,7.77
EMP_00168,9793.59,12.2
EMP_00169,5509.22,9.91
EMP_00170,4492.53,4.75
EMP_00171,4220.97,6.13
EMP_00172,4368.38,12.2
EMP_00173,5845.8,8.15
EMP_00174,6682.3,13.39
EMP_00175,6553.38,10.75
EMP_00176,7654.37,13.67
EMP_00177,6026.0,11.6
EMP_00178,8907.07,4.24
EMP_00179,5470.69,9.64
EMP_00180,11440.34,9.59
EMP_00181,7251.33,12.7
EMP_00182,4285.68,11.99
EMP_00183,3858.22,6.95
EMP_00184,6964.94,7.34
EMP_00185,5553.07,4.48
EMP_00186,7428.0,13.61
EMP_00187,6946.48,10.21
EMP_00188,5854.34,14.93
EMP_00189,4306.41,18.28
EMP_00190,2970.31,0.0
EMP_00191,5106.97,10.78
EMP_00192,7712.8,9.06
EMP_00193,6428.19,12.37
EMP_00194,3508.52,6.98
EMP_00195,6346.36,3.66
EMP_00196,6770.63,7.59
EMP_00197,4232.29,2.22
EMP_00198,6307.45,3.69
EMP_00199,6116.42,10.1
EMP_00200,3714.06,18.42
EMP_00201,6715.57,5.22
EMP_00202,7121.57,4.82
EMP_00203,8166.1,14.44
EMP_00204,8107.6,6.32
EMP_00205,3244.66,10.03
EMP_00206,4124.35,11.19
EMP_00207,7030.07,16.14
EMP_00208,7027.57,16.02
EMP_00209,7030.1,10.17
EMP_00210,13705.46,9.91
EMP_00211,7141.78,11.03
EMP_00212,8271.13,16.74
EMP_00213,7908.0,7.83
EMP_00214,7302.78,1.76
EMP_00215,5369.46,14.27
EMP_00216,7517.94,13.25
EMP_00217,4454.35,7.38
EMP_00218,5526.36,6.07
EMP_00219,5029.27,11.63
EMP_00220,6163.75,4.85
EMP_00221,10629.32,9.86
EMP_00222,2265.47,20.33
EMP_00223,7372.52,11.31
EMP_00224,2774.57,19.84
EMP_00225,5056.14,8.05
EMP_00226,8177.9,7.82
EMP_00227,6128.56,19.95
EMP_00228,3844.51,4.84
EMP_00229,4569.39,15.9
EMP_00230,7359.2,13.46
EMP_00231,4539.27,7.8
EMP_00232,6432.92,9.39
EMP_00233,6091.14,13.56
EMP_00234,4696.8,6.91
EMP_00235,10287.89,10.53
EMP_00236,7267.84,6.37
EMP_00237,1949.71,7.28
EMP_00238,6372.91,9.95
EMP_00239,4676.43,13.53
EMP_00240,7704.87,12.16
EMP_00241,4414.96,9.38
EMP_00242,5770.53,14.3
EMP_00243,7009.97,4.18
EMP_00244,7731.51,15.63
EMP_00245,3599.41,5.44
EMP_00246,5331.0,11.51
EMP_00247,5050.11,13.07
EMP_00248,4693.34,4.83
EMP_00249,9530.91,14.95
EMP_00250,6809.96,10.68
EMP_00251,3478.23,11.09
EMP_00252,7835.72,8.25
EMP_00253,10244.31,11.16
EMP_00254,8064.93,7.83
EMP_00255,2961.26,9.9
EMP_00256,5031.53,9.22
EMP_00257,8533.82,6.85
EMP_00258,4584.66,4.54
EMP_00259,6887.64,6.35
EMP_00260,7549.27,17.34
EMP_00261,4146.14,5.44
EMP_00262,5880.95,14.24
EMP_00263,1500.0,11.81
EMP_00264,3951.22,6.04
EMP_00265,5494.86,3.98
EMP_00266,3504.43,8.29
EMP_00267,9264.82,9.78
EMP_00268,3139.72,0.0
EMP_00269,5119.91,5.69
EMP_00270,6261.48,14.19
EMP_00271,8882.55,4.26
EMP_00272,3128.28,7.5
EMP_00273,8326.33,9.22
EMP_00274,6020.47,12.44
EMP_00275,4036.98,4.91
EMP_00276,6924.21,6.76
EMP_00277,6398.12,10.38
EMP_00278,4799.57,4.44
EMP_00279,6139.6,16.82
EMP_00280,5229.37,7.95
EMP_00281,6227.03,15.1
EMP_00282,7324.26,10.16
EMP_00283,9172.03,13.54
EMP_00284,3524.37,5.49
EMP_00285,10266.07,12.67
EMP_00286,2095.82,5.27
EMP_00287,5696.43,20.36
EMP_00288,7176.63,8.66
EMP_00289,6561.98,15.99
EMP_00290,4754.6,7.62
EMP_00291,5583.76,8.42
EMP_00292,5014.0,12.42
EMP_00293,4821.27,6.14
EMP_00294,7699.2,5.99
EMP_00295,6714.03,16.36
EMP_00296,4614.18,4.82
EMP_00297,7799.2,0.55
EMP_00298,6614.6,11.62
EMP_00299,7625.72,14.3
EMP_00300,7259.26,5.66
EMP_00301,4342.01,6.39
EMP_00302,4879.64,8.06
EMP_00303,7494.59,19.51
EMP_00304,7220.74,11.27
EMP_00305,5958.2,13.98
EMP_00306,6234.65,8.18
EMP_00307,8555.33,9.91
EMP_00308,4816.86,6.06
EMP_00309,7094.19,4.61
EMP_00310,5595.61,8.71
EMP_00311,5564.64,8.96
EMP_00312,8197.55,8.89
EMP_00313,7650.83,13.75
EMP_00314,7627.02,6.41
EMP_00315,8610.96,5.23
EMP_00316,6042.01,15.19
EMP_00317,7363.91,4.4
EMP_00318,5379.47,2.74
EMP_00319,6648.33,15.84
EMP_00320,5739.71,10.37
EMP_00321,6193.99,6.26
EMP_00322,7190.31,17.08
EMP_00323,4363.56,5.86
EMP_00324,10184.77,10.3
EMP_00325,3987.97,17.26
EMP_00326,3571.62,7.17
EMP_00327,8316.22,6.65
EMP_00328,7583.33,9.31
EMP_00329,7248.24,18.34
EMP_00330,7256.69,5.09
EMP_00331,5975.51,12.97
EMP_00332,4205.49,12.07
EMP_00333,6151.61,10.79
EMP_00334,4645.68,9.52
EMP_00335,7950.24,11.71
EMP_00336,5705.89,4.78
EMP_00337,4349.01,9.84
EMP_00338,5357.23,7.24
EMP_00339,6825.86,10.38
EMP_00340,4872.55,11.15
EMP_00341,4355.56,9.24
EMP_00342,6487.37,8.73
EMP_00343,6489.93,16.4
EMP_00344,4986.11,12.03
EMP_00345,5057.92,5.34
EMP_00346,6464.1,12.68
EMP_00347,3103.83,14.16
EMP_00348,3185.07,3.69
EMP_00349,4563.11,0.0
EMP_00350,5573.11,20.13
EMP_00351,6621.82,15.38
EMP_00352,8950.71,9.53
EMP_00353,7715.32,10.09
EMP_00354,5680.12,6.44
EMP_00355,5961.97,12.03
EMP_00356,3994.94,3.2
EMP_00357,5962.97,14.58
EMP_00358,5422.68,1.59
EMP_00359,6645.44,17.27
EMP_00360,4345.54,3.44
EMP_00361,7038.69,10.69
EMP_00362,9065.48,14.25
EMP_00363,5782.48,8.37
EMP_00364,6803.42,10.58
EMP_00365,7380.29,12.69
EMP_00366,5197.56,10.57
EMP_00367,6448.18,6.15
EMP_00368,6025.18,11.12
EMP_00369,6195.35,16.28
EMP_00370,4453.98,13.87
EMP_00371,6049.02,10.96
EMP_00372,6996.0,10.01
EMP_00373,8902.29,5.39
EMP_00374,7918.54,3.75
EMP_00375,10306.36,12.79
EMP_00376,4465.3,13.07
EMP_00377,7744.64,10.53
EMP_00378,6366.68,13.84
EMP_00379,10379.61,12.42
EMP_00380,4383.4,9.95
EMP_00381,4320.56,8.22
EMP_00382,4801.21,9.85
EMP_00383,1752.21,11.82
EMP_00384,4948.49,10.11
EMP_00385,4481.73,8.91
EMP_00386,6300.79,7.73
EMP_00387,6683.51,5.25
EMP_00388,9752.34,5.81
EMP_00389,7900.85,17.79
EMP_00390,4846.19,10.63
EMP_00391,4203.17,10.3
EMP_00392,6983.84,1.05
EMP_00393,3359.53,9.46
EMP_00394,9662.92,12.36
EMP_00395,8358.88,10.94
EMP_00396,5061.65,7.73
EMP_00397,2573.73,8.56
EMP_00398,8707.74,9.24
EMP_00399,5770.92,9.16
EMP_00400,8475.63,0.0
EMP_00401,2811.14,10.47
EMP_00402,4801.25,8.68
EMP_00403,6010.49,12.09
EMP_00404,6093.96,11.74
EMP_00405,5099.87,17.84
EMP_00406,7245.7,6.24
EMP_00407,3864.76,11.55
EMP_00408,5715.24,6.75
EMP_00409,6240.59,5.17
EMP_00410,7028.88,13.54
EMP_00411,7423.23,11.69
EMP_00412,3750.72,0.06
EMP_00413,2931.77,9.74
EMP_00414,8555.35,12.65
EMP_00415,6664.63,10.14
EMP_00416,4503.03,13.22
EMP_00417,9102.3,12.17
EMP_00418,6231.35,14.5
EMP_00419,8358.59,8.45
EMP_00420,6135.04,3.53
EMP_00421,10121.5,7.89
EMP_00422,9510.68,13.73
EMP_00423,5502.07,8.57
EMP_00424,7943.14,6.52
EMP_00425,7290.75,17.22
EMP_00426,8737.26,0.0
EMP_00427,4070.15,0.0
EMP_00428,7372.1,10.54
EMP_00429,8116.85,7.65
EMP_00430,2482.52,6.03
EMP_00431,3633.48,17.59
EMP_00432,1921.54,16.0
EMP_00433,5461.19,15.8
EMP_00434,7435.08,13.96
EMP_00435,9004.71,8.02
EMP_00436,6148.19,12.09
EMP_00437,9257.23,12.05
EMP_00438,3239.8,11.33
EMP_00439,2593.24,18.2
EMP_00440,5888.9,7.3
EMP_00441,6768.13,7.03
EMP_00442,5934.61,8.75
EMP_00443,1865.12,18.56
EMP_00444,5821.76,15.49
EMP_00445,3391.06,10.36
EMP_00446,7339.35,11.96
EMP_00447,6733.2,2.18
EMP_00448,4120.24,4.44
EMP_00449,4972.27,8.38
EMP_00450,3881.57,5.95
EMP_00451,5874.64,10.72
EMP_00452,7910.28,11.13
EMP_00453,4028.55,8.84
EMP_00454,7008.09,1.54
EMP_00455,4939.48,10.44
EMP_00456,4414.25,15.36
EMP_00457,5785.94,6.57
EMP_00458,3929.52,7.25
EMP_00459,4892.7,7.7
EMP_00460,3604.24,7.77
EMP_00461,9929.45,12.12
EMP_00462,6070.53,5.55
EMP_00463,4600.55,25.53
EMP_00464,6427.96,9.44
EMP_00465,5775.34,0.68
EMP_00466,5558.06,7.15
EMP_00467,7228.33,10.39
EMP_00468,7515.02,2.45
EMP_00469,4939.0,5.16
EMP_00470,4848.36,8.81
EMP_00471,5449.9,5.84
EMP_00472,1500.0,1.35
EMP_00473,2969.62,9.99
EMP_00474,8733.75,8.82
EMP_00475,9289.94,22.85
EMP_00476,5501.93,17.44
EMP_00477,7153.11,4.92
EMP_00478,6622.5,0.0
EMP_00479,12157.76,8.76
EMP_00480,8239.15,0.0
EMP_00481,5744.16,11.22
EMP_00482,4088.92,10.32
EMP_00483,2787.11,7.58
EMP_00484,6406.93,10.36
EMP_00485,4487.3,11.13
EMP_00486,3155.49,8.58
EMP_00487,4706.85,12.69
EMP_00488,3836.9,9.22
EMP_00489,9374.28,6.0
EMP_00490,7763.28,13.43
EMP_00491,5984.05,0.0
EMP_00492,8959.89,9.99
EMP_00493,6154.74,10.24
EMP_00494,4277.43,5.62
EMP_00495,9046.25,8.13
EMP_00496,7077.82,11.93
EMP_00497,3925.51,10.79
EMP_00498,5619.32,11.26
EMP_00499,4248.76,0.16
EMP_00500,3234.4,10.75
EMP_00501,7852.36,8.98
EMP_00502,9818.83,17.12
EMP_00503,3202.86,0.0
EMP_00504,7125.94,10.64
EMP_00505,4698.71,5.99
EMP_00506,5025.75,15.41
EMP_00507,4815.21,1.57
EMP_00508,4272.02,10.93
EMP_00509,6097.04,12.1
EMP_00510,4338.1,2.38
EMP_00511,6540.91,4.03
EMP_00512,5899.52,3.89
EMP_00513,5522.1,14.73
EMP_00514,4184.87,17.86
EMP_00515,4846.46,8.24
EMP_00516,7510.78,9.43
EMP_00517,7001.83,6.0
EMP_00518,4044.89,10.78
EMP_00519,6198.66,11.9
EMP_00520,7502.77,7.51
EMP_00521,2661.19,7.33
EMP_00522,7086.72,11.16
EMP_00523,4674.75,10.55
EMP_00524,7141.2,14.59
EMP_00525,4473.48,15.45
EMP_00526,2390.24,9.03
EMP_00527,2744.92,9.46
EMP_00528,6096.17,10.0
EMP_00529,6519.45,0.03
EMP_00530,4191.37,9.43
EMP_00531,7277.18,12.87
EMP_00532,2676.96,0.0
EMP_00533,5867.84,10.15
EMP_00534,3577.97,15.42
EMP_00535,4696.33,9.46
EMP_00536,6094.8,12.14
EMP_00537,4279.17,20.77
EMP_00538,5230.89,9.5
EMP_00539,8012.59,12.53
EMP_00540,4846.22,16.05
EMP_00541,7671.38,14.16
EMP_00542,3740.59,12.52
EMP_00543,7059.61,6.0
EMP_00544,8883.14,13.91
EMP_00545,1500.0,0.37
EMP_00546,4406.21,16.51
EMP_00547,7154.14,14.27
EMP_00548,5593.91,11.46
EMP_00549,6742.29,7.11
EMP_00550,4792.03,3.49
EMP_00551,6173.18,8.3
EMP_00552,5688.65,6.27
EMP_00553,8335.56,13.39
EMP_00554,6508.84,8.57
EMP_00555,6675.21,12.27
EMP_00556,5176.25,14.35
EMP_00557,5024.79,7.51
EMP_00558,5134.88,0.09
EMP_00559,6788.9,17.01
EMP_00560,5158.03,9.09
EMP_00561,6579.55,13.15
EMP_00562,10150.8,3.14
EMP_00563,7742.25,14.17
EMP_00564,5347.95,9.23
EMP_00565,8402.43,0.0
EMP_00566,5183.85,3.36
EMP_00567,1923.75,14.84
EMP_00568,3983.83,9.32
EMP_00569,2258.42,11.54
EMP_00570,5296.97,7.46
EMP_00571,6036.84,5.07
EMP_00572,9352.87,11.05
EMP_00573,6653.85,1.09
EMP_00574,5561.8,8.12
EMP_00575,7658.81,0.6
EMP_00576,1577.73,9.0
EMP_00577,6471.23,19.23
EMP_00578,7541.73,10.28
EMP_00579,3042.83,11.76
EMP_00580,8287.51,14.53
EMP_00581,6676.99,7.55
EMP_00582,5169.42,13.06
EMP_00583,7265.56,8.32
EMP_00584,10541.39,13.55
EMP_00585,6363.73,15.78
EMP_00586,6496.44,7.93
EMP_00587,5081.28,7.35
EMP_00588,4300.31,11.08
EMP_00589,7660.67,12.62
EMP_00590,4287.83,10.91
EMP_00591,6143.13,16.44
EMP_00592,5044.69,5.61
EMP_00593,6957.96,12.07
EMP_00594,6667.32,13.36
EMP_00595,8075.08,9.81
EMP_00596,4979.97,15.93
EMP_00597,5460.25,16.74
EMP_00598,4042.47,6.83
EMP_00599,5111.41,8.17
EMP_00600,6754.6,11.13
EMP_00601,7513.98,8.77
EMP_00602,4155.67,10.88
EMP_00603,7739.21,16.13
EMP_00604,8711.28,21.67
EMP_00605,6826.87,0.0
EMP_00606,9753.59,17.19
EMP_00607,4452.42,9.93
EMP_00608,3510.69,5.42
EMP_00609,2442.56,6.67
EMP_00610,8992.09,8.81
EMP_00611,7308.73,6.41
EMP_00612,5888.83,7.7
EMP_00613,6559.94,9.31
EMP_00614,3749.02,2.44
EMP_00615,10891.5,0.0
EMP_00616,6258.44,0.33
EMP_00617,6218.79,11.97
EMP_00618,7451.53,10.97
EMP_00619,6962.02,2.84
EMP_00620,6447.77,6.52
EMP_00621,4419.05,5.79
EMP_00622,6942.94,5.42
EMP_00623,9764.05,8.72
EMP_00624,8690.84,12.68
EMP_00625,9186.37,11.03
EMP_00626,4977.57,8.27
EMP_00627,4020.79,11.49
EMP_00628,5748.43,14.47
EMP_00629,6111.45,7.49
EMP_00630,8188.38,12.36
EMP_00631,2615.07,12.66
EMP_00632,9059.1,7.55
EMP_00633,5683.98,1.4
EMP_00634,5146.24,6.67
EMP_00635,3975.79,12.77
EMP_00636,2690.29,4.95
EMP_00637,7646.34,15.96
EMP_00638,6146.64,12.45
EMP_00639,3420.08,11.4
EMP_00640,3409.84,6.74
EMP_00641,5328.43,14.65
EMP_00642,9338.04,19.25
EMP_00643,5480.82,13.38
EMP_00644,2993.71,4.57
EMP_00645,5508.51,11.2
EMP_00646,5454.55,10.36
EMP_00647,1500.0,11.42
EMP_00648,5891.41,11.82
EMP_00649,5538.13,8.42
EMP_00650,7392.41,13.08
EMP_00651,9697.91,14.18
EMP_00652,8253.13,10.27
EMP_00653,5462.22,13.23
EMP_00654,3786.95,7.88
EMP_00655,11146.72,5.38
EMP_00656,6118.44,5.64
EMP_00657,6027.86,16.01
EMP_00658,5951.75,0.0
EMP_00659,6396.17,12.35
EMP_00660,5711.28,16.79
EMP_00661,4852.68,11.1
EMP_00662,4906.28,13.46
EMP_00663,5934.49,19.47
EMP_00664,4913.15,6.82
EMP_00665,4574.31,6.39
EMP_00666,6212.86,13.42
EMP_00667,5490.05,14.2
EMP_00668,9007.99,16.83
EMP_00669,1500.0,16.99
EMP_00670,8183.01,11.8
EMP_00671,8492.17,14.95
EMP_00672,1853.22,10.7
EMP_00673,5314.62,0.0
EMP_00674,5257.12,14.06
EMP_00675,3184.98,16.26
EMP_00676,4444.37,7.71
EMP_00677,3778.85,8.47
EMP_00678,9504.54,10.46
EMP_00679,7871.36,7.57
EMP_00680,8543.11,12.61
EMP_00681,7443.34,17.09
EMP_00682,3741.9,9.58
EMP_00683,4950.96,16.15
EMP_00684,6978.75,3.96
EMP_00685,3555.74,15.32
EMP_00686,7426.0,17.43
EMP_00687,5519.35,13.45
EMP_00688,5250.36,8.64
EMP_00689,7421.92,4.35
EMP_00690,6888.53,5.61
EMP_00691,5278.07,6.9
EMP_00692,8318.66,14.19
EMP_00693,3837.87,12.88
EMP_00694,7231.87,16.66
EMP_00695,7186.2,2.26
EMP_00696,5380.91,11.4
EMP_00697,6652.27,12.75
EMP_00698,3497.77,13.35
EMP_00699,7848.05,11.9
EMP_00700,5630.2,6.28
EMP_00701,4954.55,0.0
EMP_00702,8098.02,11.45
EMP_00703,4591.31,11.55
EMP_00704,3183.08,15.22
EMP_00705,2886.74,12.68
EMP_00706,7212.02,11.17
EMP_00707,3439.14,10.72
EMP_00708,9509.59,12.37
EMP_00709,1836.14,17.21
EMP_00710,9392.91,11.65
EMP_00711,6422.03,14.64
EMP_00712,5806.57,22.29
EMP_00713,4910.16,12.98
EMP_00714,6798.27,20.42
EMP_00715,5924.73,13.14
EMP_00716,8206.6,2.72
EMP_00717,6228.46,13.52
EMP_00718,6300.6,7.53
EMP_00719,5272.78,17.5
EMP_00720,5886.11,4.9
EMP_00721,6615.6,5.78
EMP_00722,2579.66,7.45
EMP_00723,3303.63,9.46
EMP_00724,7486.53,13.02
EMP_00725,6341.73,14.81
EMP_00726,5632.03,7.29
EMP_00727,6036.87,11.71
EMP_00728,6695.16,0.0
EMP_00729,4920.48,4.81
EMP_00730,4443.39,10.12
EMP_00731,6391.69,4.35
EMP_00732,4043.25,9.41
EMP_00733,6816.51,12.52
EMP_00734,2594.83,14.39
EMP_00735,8058.31,12.87
EMP_00736,6945.19,0.0
EMP_00737,6512.06,4.08
EMP_00738,7965.38,13.45
EMP_00739,9330.95,11.88
EMP_00740,8028.74,10.12
EMP_00741,2318.25,0.0
EMP_00742,3440.85,2.27
EMP_00743,4750.36,12.86
EMP_00744,6052.18,12.14
EMP_00745,7035.32,8.59
EMP_00746,4548.51,9.86
EMP_00747,6373.53,7.94
EMP_00748,4489.23,0.36
EMP_00749,4776.96,14.99
EMP_00750,3186.68,12.88
EMP_00751,4153.53,10.83
EMP_00752,3296.63,6.34
EMP_00753,4048.25,2.46
EMP_00754,8107.28,11.74
EMP_00755,4101.2,5.55
EMP_00756,11264.76,14.26
EMP_00757,6986.64,9.37
EMP_00758,6369.67,15.33
EMP_00759,4283.28,18.09
EMP_00760,7400.62,13.76
EMP_00761,4848.72,19.27
EMP_00762,6244.02,18.21
EMP_00763,11120.17,12.61
EMP_00764,5807.88,13.86
EMP_00765,8298.55,14.97
EMP_00766,4593.65,12.62
EMP_00767,5930.02,11.9
EMP_00768,9541.6,15.64
EMP_00769,4746.07,9.54
EMP_00770,9624.9,8.71
EMP_00771,7415.5,17.26
EMP_00772,4875.07,13.69
EMP_00773,7264.82,18.59
EMP_00774,7945.11,16.61
EMP_00775,7243.62,8.35
EMP_00776,2859.55,16.98
EMP_00777,4545.73,12.97
EMP_00778,5504.96,9.73
EMP_00779,5851.13,9.63
EMP_00780,7241.34,1.33
EMP_00781,6355.4,13.05
EMP_00782,3329.31,22.49
EMP_00783,6760.4,7.58
EMP_00784,7221.17,9.44
EMP_00785,7119.58,15.89
EMP_00786,8161.56,6.72
EMP_00787,7667.84,7.97
EMP_00788,6918.36,23.27
EMP_00789,5859.67,13.68
EMP_00790,2678.08,8.39
EMP_00791,6859.24,19.33
EMP_00792,6415.38,4.16
EMP_00793,6543.16,21.14
EMP_00794,3446.5,3.03
EMP_00795,3837.89,14.6
EMP_00796,8106.31,7.46
EMP_00797,5920.89,11.56
EMP_00798,7363.0,11.39
EMP_00799,6056.64,6.31
EMP_00800,6059.51,17.66
EMP_00801,7876.57,3.06
EMP_00802,4967.91,1.41
EMP_00803,6192.24,13.33
EMP_00804,5075.45,7.97
EMP_00805,5131.01,7.88
EMP_00806,5381.66,6.39
EMP_00807,6444.27,10.52
EMP_00808,5042.5,15.13
EMP_00809,8511.51,18.39
EMP_00810,4210.79,21.99
EMP_00811,5626.26,14.14
EMP_00812,5120.54,14.06
EMP_00813,8893.96,15.3
EMP_00814,6393.11,7.87
EMP_00815,8063.69,10.11
EMP_00816,3028.88,15.59
EMP_00817,6534.1,4.0
EMP_00818,7779.26,10.75
EMP_00819,6164.57,9.61
EMP_00820,8130.96,8.58
EMP_00821,4965.42,4.65
EMP_00822,8818.69,8.29
EMP_00823,10597.8,12.45
EMP_00824,5274.32,4.47
EMP_00825,5108.99,8.42
EMP_00826,8906.77,10.84
EMP_00827,9159.14,14.13
EMP_00828,4954.28,9.56
EMP_00829,5159.63,17.7
EMP_00830,5436.43,2.91
EMP_00831,3311.1,7.59
EMP_00832,4162.7,5.75
EMP_00833,3991.72,6.61
EMP_00834,4464.4,12.99
EMP_00835,5930.63,11.88
EMP_00836,6468.43,10.38
EMP_00837,9101.0,5.5
EMP_00838,4003.29,12.89
EMP_00839,7968.64,4.51
EMP_00840,5572.02,11.05
EMP_00841,5901.07,9.06
EMP_00842,7349.64,7.77
EMP_00843,3754.56,6.98
EMP_00844,6764.82,12.97
EMP_00845,6332.9,12.18
EMP_00846,6984.9,8.09
EMP_00847,6578.34,5.16
EMP_00848,10910.6,12.01
EMP_00849,4724.52,14.74
EMP_00850,4938.01,3.17
EMP_00851,4753.72,13.05
EMP_00852,4889.05,11.62
EMP_00853,4725.23,6.13
EMP_00854,8378.03,12.95
EMP_00855,8841.01,9.89
EMP_00856,4858.51,7.93
EMP_00857,4335.29,11.88
EMP_00858,6942.83,7.04
EMP_00859,4895.55,6.07
EMP_00860,7265.86,7.13
EMP_00861,6405.85,12.01
EMP_00862,2968.51,13.87
EMP_00863,9095.01,8.74
EMP_00864,9591.76,7.98
EMP_00865,4774.42,13.45
EMP_00866,5224.6,10.72
EMP_00867,6571.73,7.72
EMP_00868,6668.91,0.0
EMP_00869,7317.09,9.32
EMP_00870,10020.41,15.44
EMP_00871,5646.11,9.88
EMP_00872,4403.41,7.88
EMP_00873,3241.36,12.15
